Sr.No	Round	Institute	Program	Quota	Category	Opening Rank	Closing Rank
1	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	OPDFHS	258845	303162
2	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	OPNOHS	99288	160820
3	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Home State	SCNOHS	333060	751376
4	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	OPDFOS	253881	253881
5	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	OPNOOS	58557	73888
6	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	SCNOOS	258855	308701
7	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Computer Science & Engineering	Other State	STNOOS	576006	660040
8	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Home State	OPDFHS	265219	301823
9	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Home State	OPNOHS	117508	165249
10	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Home State	SCNOHS	654358	770785
11	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Other State	OPNOOS	66358	75325
12	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Other State	SCDFOS	332165	332165
13	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	CSE- DS	Other State	STNOOS	766272	766272
14	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electrical & Electronics Engineering	Home State	OPDFHS	418347	450264
15	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electrical & Electronics Engineering	Home State	OPNOHS	186424	270739
16	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electrical & Electronics Engineering	Home State	SCNOHS	871492	1208354
17	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electrical & Electronics Engineering	Other State	OPNOOS	90393	105615
18	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electrical & Electronics Engineering	Other State	SCNOOS	393936	393936
19	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electronics & Communication Engineering	Home State	OPDFHS	387332	404202
20	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electronics & Communication Engineering	Home State	OPNOHS	187881	232328
21	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electronics & Communication Engineering	Home State	SCNOHS	505444	1277133
22	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electronics & Communication Engineering	Other State	OPDFOS	127723	127723
23	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electronics & Communication Engineering	Other State	OPNOOS	77633	92960
24	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Electronics & Communication Engineering	Other State	SCNOOS	353184	379758
25	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Information Technology	Home State	OPDFHS	297086	343080
26	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Information Technology	Home State	OPNOHS	163015	186009
27	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Information Technology	Home State	SCNOHS	624607	922784
28	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Information Technology	Other State	OPDFOS	101084	101084
29	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Information Technology	Other State	OPNOOS	71440	80204
30	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Information Technology	Other State	SCNOOS	319728	339894
31	Round 2	Bhagwan Parshuram Institute of Technology, P.S.P-4, Sector-17, Rohini, Delhi-110085	Information Technology	Other State	STNOOS	791150	791150
32	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Home State	OPDFHS	210711	263287
33	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Home State	OPNOHS	81021	145948
34	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Home State	OPPHHS	1053928	1053928
35	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Home State	SCNOHS	396798	699402
36	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Other State	OPDFOS	83894	83894
37	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Other State	OPNOOS	61843	72835
38	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Other State	SCDFOS	758968	758968
39	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Other State	SCNOOS	285483	299492
40	Round 2	Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Other State	STNOOS	657458	760630
41	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	All India	NOKMAI	157756	157756
42	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	Home State	OPDFHS	217359	292812
43	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	Home State	OPNOHS	101096	150825
44	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	Home State	SCNOHS	531421	717231
45	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	Home State	STNOHS	666401	666401
46	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	Other State	OPNOOS	58504	74419
47	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	Other State	SCNOOS	283207	285157
48	Round 2	Bharati Vidyapeeths College of Engineering	CSE- AIML	Other State	STNOOS	836071	836071
49	Round 2	Bharati Vidyapeeths College of Engineering	Electrical & Electronics Engineering	Home State	OPDFHS	578589	718484
50	Round 2	Bharati Vidyapeeths College of Engineering	Electrical & Electronics Engineering	Home State	OPNOHS	188160	253124
51	Round 2	Bharati Vidyapeeths College of Engineering	Electrical & Electronics Engineering	Home State	SCNOHS	955392	1120749
52	Round 2	Bharati Vidyapeeths College of Engineering	Electrical & Electronics Engineering	Other State	OPNOOS	83873	104428
53	Round 2	Bharati Vidyapeeths College of Engineering	Electrical & Electronics Engineering	Other State	SCNOOS	317866	317866
54	Round 2	Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Home State	OPDFHS	333101	381383
55	Round 2	Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Home State	OPNOHS	157579	214297
56	Round 2	Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Home State	SCNOHS	784019	1355426
57	Round 2	Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Other State	OPDFOS	117445	117445
58	Round 2	Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Other State	OPNOOS	82130	92207
59	Round 2	Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Other State	SCNOOS	326806	389855
60	Round 2	Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Other State	STNOOS	1294290	1294290
61	Round 2	Bharati Vidyapeeths College of Engineering	Information Technology	Home State	OPDFHS	241004	306715
62	Round 2	Bharati Vidyapeeths College of Engineering	Information Technology	Home State	OPNOHS	102406	167082
63	Round 2	Bharati Vidyapeeths College of Engineering	Information Technology	Home State	SCNOHS	607409	787921
64	Round 2	Bharati Vidyapeeths College of Engineering	Information Technology	Other State	OPDFOS	85414	85414
65	Round 2	Bharati Vidyapeeths College of Engineering	Information Technology	Other State	OPNOOS	74186	78873
66	Round 2	Bharati Vidyapeeths College of Engineering	Information Technology	Other State	SCNOOS	302012	313940
67	Round 2	Bharati Vidyapeeths College of Engineering	Information Technology	Other State	STNOOS	1215890	1215890
68	Round 2	Bharati Vidyapeeths College of Engineering	Instrumentation & Control Engineering (Shift I)	Home State	OPDFHS	735201	735201
69	Round 2	Bharati Vidyapeeths College of Engineering	Instrumentation & Control Engineering (Shift I)	Home State	OPNOHS	237510	298923
70	Round 2	Bharati Vidyapeeths College of Engineering	Instrumentation & Control Engineering (Shift I)	Other State	OPNOOS	96627	106399
71	Round 2	Bharati Vidyapeeths College of Engineering	Instrumentation & Control Engineering (Shift I)	Other State	SCNOOS	402705	402705
72	Round 2	Delhi Institute of Sciences & Technology (formerly Delhi Institute of Rural Development), (Sister Branch of DIRD) Behind Le Gardens Victorian Palace, G.T. Karnal Road, Nangli Poona, Delhi - 110036	Computer Science & Engineering	Home State	OPDFHS	602186	936731
73	Round 2	Delhi Institute of Sciences & Technology (formerly Delhi Institute of Rural Development), (Sister Branch of DIRD) Behind Le Gardens Victorian Palace, G.T. Karnal Road, Nangli Poona, Delhi - 110036	Computer Science & Engineering	Home State	OPNOHS	179136	494632
74	Round 2	Delhi Institute of Sciences & Technology (formerly Delhi Institute of Rural Development), (Sister Branch of DIRD) Behind Le Gardens Victorian Palace, G.T. Karnal Road, Nangli Poona, Delhi - 110036	Computer Science & Engineering	Home State	SCNOHS	860152	1085725
75	Round 2	Delhi Institute of Sciences & Technology (formerly Delhi Institute of Rural Development), (Sister Branch of DIRD) Behind Le Gardens Victorian Palace, G.T. Karnal Road, Nangli Poona, Delhi - 110036	Computer Science & Engineering	Other State	OPDFOS	218787	218787
76	Round 2	Delhi Institute of Sciences & Technology (formerly Delhi Institute of Rural Development), (Sister Branch of DIRD) Behind Le Gardens Victorian Palace, G.T. Karnal Road, Nangli Poona, Delhi - 110036	Computer Science & Engineering	Other State	OPNOOS	102388	142957
77	Round 2	Delhi Institute of Sciences & Technology (formerly Delhi Institute of Rural Development), (Sister Branch of DIRD) Behind Le Gardens Victorian Palace, G.T. Karnal Road, Nangli Poona, Delhi - 110036	Computer Science & Engineering	Other State	SCNOOS	386202	500950
78	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Artificial Intelligence & Data Science	Home State	OPNOHS	228882	638835
79	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Artificial Intelligence & Data Science	Other State	OPNOOS	116890	155955
80	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Artificial Intelligence & Data Science	Other State	SCNOOS	261438	261438
81	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Artificial Intelligence & Machine Learning	Home State	OPNOHS	277800	666541
82	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Artificial Intelligence & Machine Learning	Other State	OPNOOS	134222	183048
83	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Artificial Intelligence & Machine Learning	Other State	SCNOOS	454534	454534
84	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	B. Tech. (Computer Science & Applied Mathematics)	Home State	OPNOHS	234296	670117
85	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	B. Tech. (Computer Science & Applied Mathematics)	Other State	OPNOOS	154745	187523
86	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	B. Tech. (Computer Science & Applied Mathematics)	Other State	SCNOOS	562832	562832
87	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Engineering	Home State	OPDFHS	596751	1143344
88	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Engineering	Home State	OPNOHS	188705	594632
89	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Engineering	Home State	SCNOHS	1076737	1400323
90	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Engineering	Other State	OPDFOS	203206	226225
91	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Engineering	Other State	OPNOOS	93196	168502
92	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Engineering	Other State	SCNOOS	454971	544423
93	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Technology	Home State	OPDFHS	1145435	1145435
94	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Technology	Home State	OPNOHS	369269	659150
95	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Technology	Other State	OPDFOS	239875	239875
96	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Technology	Other State	OPNOOS	145964	180762
97	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	Computer Science & Technology	Other State	SCDFOS	949505	949505
98	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE (Cyber Security)	Home State	OPDFHS	823626	823626
99	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE (Cyber Security)	Home State	OPNOHS	105064	653063
100	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE (Cyber Security)	Home State	SCNOHS	1336902	1336902
101	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE (Cyber Security)	Other State	OPNOOS	152663	184799
102	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE (Cyber Security)	Other State	SCNOOS	410705	410705
103	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- AIML	Home State	OPDFHS	1149737	1149737
104	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- AIML	Home State	OPNOHS	143210	635568
105	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- AIML	Home State	SCNOHS	1306446	1306446
106	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- AIML	Other State	OPDFOS	250332	250332
107	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- AIML	Other State	OPNOOS	126693	179915
108	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- AIML	Other State	SCNOOS	383450	499002
109	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- DS	Home State	OPNOHS	373972	655936
110	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- DS	Other State	OPNOOS	147426	185299
111	Round 2	Delhi Technical Campus, 28/1, Knowledge Park, III, Greater NOIDA, UP	CSE- DS	Other State	SCNOOS	428254	428254
