Sr.No	Round	Institute	Program	Quota	Category	Opening Rank	Closing Rank
112	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science	Home State	OPDFHS	680725	913799
113	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science	Home State	OPNOHS	94157	305844
114	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science	Home State	SCNOHS	998058	1066953
115	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science	Other State	OPDFOS	154098	154098
116	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science	Other State	OPNOOS	81665	123682
117	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science	Other State	SCNOOS	409258	433701
118	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science (Shift II)	Home State	OPDFHS	844430	921301
119	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science (Shift II)	Home State	OPNOHS	218804	319780
120	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science (Shift II)	Other State	OPNOOS	103468	126877
121	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Data Science (Shift II)	Other State	SCNOOS	431895	431895
122	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning	Home State	OPDFHS	422600	688703
123	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning	Home State	OPNOHS	182068	299799
124	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning	Home State	SCNOHS	681577	1242135
125	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning	Other State	OPDFOS	153720	153720
126	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning	Other State	OPNOOS	111807	125853
127	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning	Other State	SCNOOS	390978	403774
128	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning	Other State	STNOOS	793016	793016
129	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning (Shift II)	Home State	OPDFHS	918729	1016470
130	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning (Shift II)	Home State	OPNOHS	265508	320018
131	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning (Shift II)	Home State	SCNOHS	1251571	1251571
132	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning (Shift II)	Other State	OPNOOS	127212	131125
133	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Artificial Intelligence & Machine Learning (Shift II)	Other State	SCNOOS	444176	444176
134	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B. Tech. (Computer Science)	Home State	OPDFHS	623160	623160
135	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B. Tech. (Computer Science)	Home State	OPNOHS	146832	271677
136	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B. Tech. (Computer Science)	Home State	SCNOHS	473358	1014589
137	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B. Tech. (Computer Science)	Other State	OPDFOS	130672	130672
138	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B. Tech. (Computer Science)	Other State	OPNOOS	87239	104749
139	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B. Tech. (Computer Science)	Other State	OPPHOS	723399	723399
140	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B. Tech. (Computer Science)	Other State	SCNOOS	383967	383967
141	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B.Tech (CS) II- Shift	Home State	OPDFHS	643348	657746
142	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B.Tech (CS) II- Shift	Home State	OPNOHS	248808	291416
143	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B.Tech (CS) II- Shift	Home State	SCNOHS	1147170	1147170
144	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B.Tech (CS) II- Shift	Other State	OPNOOS	107275	113784
145	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	B.Tech (CS) II- Shift	Other State	SCNOOS	396376	396376
146	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Civil Engineering	Home State	OPNOHS	60684	407454
147	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Civil Engineering	Home State	SCNOHS	686726	775212
148	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Civil Engineering	Other State	OPNOOS	126448	162392
149	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Civil Engineering	Other State	SCNOOS	527569	527569
150	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift I)	Home State	OPDFHS	326105	557893
151	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift I)	Home State	OPNOHS	111661	248953
152	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift I)	Home State	SCNOHS	631817	1170101
153	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift I)	Other State	OPDFOS	135019	135019
154	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift I)	Other State	OPNOOS	75740	104685
155	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift I)	Other State	SCDFOS	778645	778645
156	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift I)	Other State	SCNOOS	302669	360166
157	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift II)	Home State	OPDFHS	516018	560320
158	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift II)	Home State	OPNOHS	209967	256421
159	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift II)	Home State	SCNOHS	1134228	1409497
160	Round 2	Dr. Akhilesh Das Gupta Institute of Professional Studies ( formerly Dr. Akhilesh Das Gupta Institute of Technology & Management), FC-26, Shastri Park, New Delhi - 110053	Computer Science & Engineering (Shift II)	Other State	OPNOOS	105449	106683
